label,regime,avg_action,avg_hedge_action,avg_hedge_type_action,dominant_hedge_type,avg_hedge_ratio,avg_hedge_cost,avg_hedge_benefit,avg_cash_weight,avg_turnover,avg_transaction_cost,avg_uncertainty_score,ann_return,ann_vol
factor_only_tf0.40,bull,4.0,0.0,0.0,none,0.0,0.0,0.0,9.577786309246201e-09,0.019058428683702767,2.0597453900366308e-05,0.2895931519614192,0.22795530586981702,0.1545320875373401
factor_only_tf0.40,neutral,4.0,0.0,0.0,none,0.0,0.0,0.0,9.58946661080474e-09,0.022646615002216968,2.458656719824819e-05,0.33655840818771643,0.3034675259050682,0.1627289253546568
factor_only_tf0.40,bear,4.0,0.0,0.0,none,0.0,0.0,0.0,9.58584769716467e-09,0.024737865342757608,2.851562052531262e-05,0.2503490946895132,-0.06529392134143217,0.3470082069709244
factor_only_tf0.50,bull,4.0,0.0,0.0,none,0.0,0.0,0.0,9.586693257082253e-09,0.017390230019776628,1.8841457152188488e-05,0.2886702579555154,0.16818357224075928,0.15265236159326526
factor_only_tf0.50,neutral,4.0,0.0,0.0,none,0.0,0.0,0.0,9.580241516268197e-09,0.018797815062656466,2.0363929958090475e-05,0.33470491967794885,0.28859177597981867,0.15915019011262102
factor_only_tf0.50,bear,4.0,0.0,0.0,none,0.0,0.0,0.0,9.602534171855708e-09,0.030647281296563127,3.488151715076784e-05,0.2508962897090793,0.2501511824097751,0.35287477195166805
factor_only_tf0.60,bull,4.0,0.0,0.0,none,0.0,0.0,0.0,9.588823107493233e-09,0.021014149054434706,2.2753854964670235e-05,0.292707964908443,0.055817197483296194,0.14032275468044234
factor_only_tf0.60,neutral,4.0,0.0,0.0,none,0.0,0.0,0.0,9.587188860386379e-09,0.020962464569546396,2.2756901164640225e-05,0.3326314613301929,0.16336686945366907,0.15056294751805882
factor_only_tf0.60,bear,4.0,0.0,0.0,none,0.0,0.0,0.0,9.604643275768549e-09,0.021641864889631966,2.369821287026308e-05,0.25806865361830195,0.4642781899433634,0.20839742335872968
factor_plus_pairs_tf0.40,bull,4.0,0.0,0.0,none,0.0,0.0,0.0,9.580619844824885e-09,0.019119410623553046,2.0665836702750368e-05,0.2898115186608565,0.2245802087488882,0.15512776584752122
factor_plus_pairs_tf0.40,neutral,4.0,0.0,0.0,none,0.0,0.0,0.0,9.592404249825668e-09,0.021916599611794874,2.3790340009209313e-05,0.3368160672226638,0.29923339072164534,0.1631853539620706
factor_plus_pairs_tf0.40,bear,4.0,0.0,0.0,none,0.0,0.0,0.0,9.590456659852063e-09,0.026714018248914357,3.069090740006867e-05,0.2510536279538003,-0.06943261281431375,0.34735295365978347
