label,regime,avg_action,avg_invested_fraction,avg_overlay_size,avg_hedge_action,avg_hedge_type_action,dominant_hedge_type,avg_hedge_ratio,avg_hedge_cost,avg_hedge_benefit,avg_cash_weight,avg_turnover,avg_transaction_cost,avg_uncertainty_score,ann_return,ann_vol
factor_only_tf0.40,bull,0.0,0.9999999900000001,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999905743833e-09,0.020943993392613255,2.268168599265957e-05,0.29593628917740405,0.2556315386108745,0.18021371146358398
factor_only_tf0.40,neutral,0.0,0.9999999900000002,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999895269521e-09,0.02018590253799132,2.193536932957204e-05,0.35068775558823934,0.30635066179713605,0.17223204205924683
factor_only_tf0.40,bear,0.0,0.99999999,0.0,0.0,0.0,none,0.0,0.0,0.0,9.99999990319541e-09,0.024159499042112467,2.780392814998426e-05,0.2827553766584714,-0.07903165309196664,0.3518176425734411
factor_only_tf0.50,bull,0.0,0.9999999900000002,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999902064458e-09,0.020497999448061043,2.2247598608938916e-05,0.2945972233060939,0.2232662432874639,0.18433990884660004
factor_only_tf0.50,neutral,0.0,0.9999999900000002,0.0,0.0,0.0,none,0.0,0.0,0.0,9.99999990437272e-09,0.019861158902483158,2.1535972459129525e-05,0.34886247186152364,0.28177238872446375,0.16673087786075969
factor_only_tf0.50,bear,0.0,0.9999999900000002,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999911772502e-09,0.027700757767683104,3.151290841488245e-05,0.281295837779607,0.25377315353602903,0.35094898557677084
factor_only_tf0.60,bull,0.0,0.9999999900000001,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999905976423e-09,0.023228694754014515,2.5157239243885716e-05,0.29812395000041,0.05899540956344031,0.16208167808664495
factor_only_tf0.60,neutral,0.0,0.9999999900000002,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999913628482e-09,0.01707237284115177,1.853991024380118e-05,0.34556032142158594,0.14799481433278405,0.14889156793273467
factor_only_tf0.60,bear,0.0,0.9999999900000003,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999909619343e-09,0.01878610081247789,2.056145121677895e-05,0.28896307680180416,0.46338687674111506,0.20997332792474857
alpha_stack_fixed_weights_tf0.40,bull,0.0,0.9999999900000003,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999838596957e-09,0.07854251709064665,8.499695530553102e-05,0.29593628917740405,0.14269585651421896,0.1210931158026749
alpha_stack_fixed_weights_tf0.40,neutral,0.0,0.9999999900000002,0.0,0.0,0.0,none,0.0,0.0,0.0,9.99999985380609e-09,0.10332318505193618,0.00011214252016034535,0.35068775558823934,0.16438968057342646,0.1218968428771816
alpha_stack_fixed_weights_tf0.40,bear,0.0,0.9999999900000002,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999837419934e-09,0.12220542602388126,0.00013647650573769726,0.2827553766584714,0.07634245755521414,0.23005744011608706
alpha_stack_fixed_weights_tf0.50,bull,0.0,0.9999999900000002,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999843619557e-09,0.08641400909664876,9.39392489053691e-05,0.2945972233060939,0.08864200828767443,0.1226508495253363
alpha_stack_fixed_weights_tf0.50,neutral,0.0,0.9999999900000002,0.0,0.0,0.0,none,0.0,0.0,0.0,9.9999998335433e-09,0.11119459595304601,0.00012061809855241116,0.34886247186152364,0.21739855755485246,0.12045664811329017
alpha_stack_fixed_weights_tf0.50,bear,0.0,0.9999999900000002,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999847581426e-09,0.13233441120384828,0.00014810351716953722,0.281295837779607,0.1047227856348599,0.22418800138798478
alpha_stack_fixed_weights_tf0.60,bull,0.0,0.9999999900000002,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999841936216e-09,0.08817228307821053,9.538543833537351e-05,0.29812395000041,0.003926214088073671,0.11463156373525964
alpha_stack_fixed_weights_tf0.60,neutral,0.0,0.9999999900000002,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999860276097e-09,0.11043948701009192,0.00011981994762867235,0.34556032142158594,0.08639833906901488,0.11007410709617249
alpha_stack_fixed_weights_tf0.60,bear,0.0,0.9999999900000003,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999840538798e-09,0.1379400388781478,0.00015015903861553633,0.28896307680180416,0.07362211965422187,0.1401359414143256
