base_label,compare_label,delta_sharpe_point,delta_sharpe_ci_low,delta_sharpe_ci_high,delta_sharpe_pvalue_two_sided,delta_ann_return_point,delta_ann_return_ci_low,delta_ann_return_ci_high,delta_ann_return_pvalue_two_sided,delta_calmar_point,delta_calmar_ci_low,delta_calmar_ci_high,delta_calmar_pvalue_two_sided,bootstrap_samples,bootstrap_block_size,base_component_label,compare_component_label,base_display_label,compare_display_label
D_cvar_robust,factor_only,0.358847627084372,-0.05524559604719187,0.8919930369976141,0.085,0.09188069960547902,0.026973731233199957,0.1588065554802876,0.01,0.13172258888806399,-0.14478238625214598,1.082974344967333,0.19,400,20,D_cvar_robust,alpha_engine_no_control,D: CVaR-Robust,"No Control
(Alpha Engine)"
D_cvar_robust,A1_fixed,0.36198001966483506,-0.057895315337954376,0.8939902919055022,0.075,0.0964505756352527,0.026216274485388102,0.16789807691250197,0.01,0.11733488714948914,-0.1369979346055805,1.1812267704290593,0.235,400,20,D_cvar_robust,A1_fixed,D: CVaR-Robust,A1: Fixed
D_cvar_robust,A2_vol_target,0.4728337468686963,-0.044454828992272995,1.0800410564408234,0.075,0.12692644344769105,0.03382200524902897,0.210839603578116,0.0,0.08251157754327665,-0.48587573279773577,1.3329925744260533,0.385,400,20,D_cvar_robust,A2_vol_target,D: CVaR-Robust,A2: Vol-Target
D_cvar_robust,A3_dd_delever,0.5494101306053447,0.09674899954221555,1.073331026971163,0.015,0.126893639552058,0.05087290319811049,0.20756777024245537,0.0,0.26384057641664443,-0.003573483135880701,1.3216167233330631,0.065,400,20,D_cvar_robust,A3_dd_delever,D: CVaR-Robust,A3: DD-Delever
D_cvar_robust,A4_regime_rules,0.33495844512753337,-0.054937792032474654,0.8411643008820435,0.1,0.09870295603486545,0.023451440819420726,0.16671301314857534,0.01,0.028242066905338814,-0.23112445392051278,1.1286255332748336,0.385,400,20,D_cvar_robust,A4_regime_rules,D: CVaR-Robust,A4: Regime Rules
D_cvar_robust,A5_ensemble_mean,0.445477896972601,-0.041069631701769485,0.9650202787205355,0.06,0.11586188401547132,0.02715285973074403,0.1894819487681235,0.02,0.06977160769288271,-0.27802442054290055,1.3084258183009623,0.24,400,20,D_cvar_robust,A5_ensemble_mean,D: CVaR-Robust,"A5: Ensemble
(mean)"
D_cvar_robust,A5_ensemble_min,0.5093375689348666,-0.02862036871054091,1.124081381909693,0.085,0.1299713210481221,0.035034219054330476,0.23088117390149407,0.015,0.09255773279235058,-0.3031531609627827,1.5485058166809471,0.365,400,20,D_cvar_robust,A5_ensemble_min,D: CVaR-Robust,"A5: Ensemble
(min)"
D_cvar_robust,B1_linucb,0.3491097856013048,-0.07235108932608325,0.8739161946745768,0.085,0.09735361393577087,0.030569198457545847,0.15945837654647213,0.015,0.0815035544513345,-0.13860454333091007,1.1447841569423503,0.215,400,20,D_cvar_robust,B1_linucb,D: CVaR-Robust,B1: LinUCB
D_cvar_robust,B2_thompson,0.4574942780433407,0.061232532474516016,1.0455908694746152,0.025,0.1123779260109346,0.032721622053470636,0.18775539200380414,0.005,0.1885146732587904,-0.028039722540453706,1.4887726472149116,0.105,400,20,D_cvar_robust,B2_thompson,D: CVaR-Robust,B2: Thompson
D_cvar_robust,B3_epsilon_greedy,0.3904242651480798,-0.020200764755763385,0.8960948696919393,0.07,0.10228786302971687,0.021953897209997197,0.1707371591881867,0.0,0.12458420945227988,-0.14392853538242917,1.1820542731550656,0.29,400,20,D_cvar_robust,B3_epsilon_greedy,D: CVaR-Robust,B3: Eps-Greedy
D_cvar_robust,C_supervised,0.3553740530456527,-0.037895002907635325,0.9072865805794939,0.08,0.0976684652077331,0.0293979076043336,0.16666168597705006,0.01,0.12894211729216332,-0.12203083193890626,1.2857197609142887,0.215,400,20,D_cvar_robust,C_supervised,D: CVaR-Robust,C: Supervised
D_cvar_robust,D_plus_convexity,-0.11827598591045285,-0.37702342917197856,0.0966845438293031,0.61,-0.00939550231110911,-0.06276490354363724,0.01875184505723021,0.775,-0.45050319933961813,-0.8607822675418766,0.11079443831374797,0.38,400,20,D_cvar_robust,D_plus_convexity,D: CVaR-Robust,D+: CVaR + Convexity
D_cvar_robust,E_council,0.14622513144365223,-0.0330948019470557,0.37003328525870227,0.135,0.05207872735007918,0.015031027252422806,0.08420903328783484,0.005,0.05322092305428461,-0.1053960559335384,0.5945829867377057,0.36,400,20,D_cvar_robust,E_council,D: CVaR-Robust,E: Council
D_cvar_robust,E_plus_convexity,0.12939944623089072,-0.17113092030600513,0.46701028261403704,0.36,0.05632981259708619,-0.002517642549171846,0.1056666990431027,0.06,-0.13427125979613996,-0.49477153274393976,0.6885271708563353,0.985,400,20,D_cvar_robust,E_plus_convexity,D: CVaR-Robust,E+: Council + Convexity
D_cvar_robust,G_mlp_meta,0.16188599184966523,-0.06507986051054257,0.4237077173952737,0.18,0.05879961095838859,0.012288600441622617,0.09971939101618606,0.02,-0.00613242620113108,-0.18321453102951776,0.5852031606925305,0.59,400,20,D_cvar_robust,G_mlp_meta,D: CVaR-Robust,G: MLP Meta
D_cvar_robust,G_plus_convexity,0.11929761882506307,-0.1888821753478964,0.512740300832704,0.46,0.057896421845832574,-0.0013131125844525085,0.11049117797507352,0.055,-0.16329754287756726,-0.6391734530782324,0.7421431957275233,0.98,400,20,D_cvar_robust,G_plus_convexity,D: CVaR-Robust,G+: MLP Meta + Convexity
D_cvar_robust,F_cmdp_lagrangian,0.4453658283785373,-0.026990657562685764,0.9710374241076726,0.07,0.11099452036080804,0.03684853979767674,0.17040136374656206,0.0,0.17658420874654646,-0.09596971035570544,1.1671392029782939,0.135,400,20,D_cvar_robust,F_cmdp_lagrangian,D: CVaR-Robust,F: CMDP-Lagrangian
D_cvar_robust,RL_q_learning,0.8346958569526135,0.12491368850689179,1.7196675232732463,0.015,0.11084449076224173,0.03778728548256698,0.19258607717954002,0.005,0.6719164904333775,-0.08022877837303921,2.6781893443249434,0.075,400,20,D_cvar_robust,RL_q_learning,D: CVaR-Robust,RL: Q-Learning
D_cvar_robust,SPY,0.32816761493842794,0.004398970292574945,0.7077640344332984,0.05,0.054255513396952004,-0.007655742250536838,0.1248746174340523,0.105,0.22554077492897634,0.0022841671060078923,0.9566268673071033,0.05,400,20,D_cvar_robust,SPY,D: CVaR-Robust,SPY
D_plus_convexity,factor_only,0.47712361299482486,0.13026209229985622,0.8985099320137139,0.025,0.10127620191658813,0.044389647072147716,0.1644364316203552,0.005,0.5822257882276821,0.08651993213850594,1.4057853328135097,0.025,400,20,D_plus_convexity,alpha_engine_no_control,D+: CVaR + Convexity,"No Control
(Alpha Engine)"
D_plus_convexity,A1_fixed,0.4802560055752879,0.08302846327121137,0.8798408499132877,0.015,0.1058460779463618,0.04487467734463385,0.16433634845863754,0.0,0.5678380864891073,0.07734976130071303,1.281036943572116,0.02,400,20,D_plus_convexity,A1_fixed,D+: CVaR + Convexity,A1: Fixed
D_plus_convexity,A2_vol_target,0.5911097327791491,0.16571896730018018,1.0794166388815474,0.0,0.13632194575880016,0.0671693059518054,0.21431147721287627,0.0,0.5330147768828948,0.022490588810490143,1.466191014200837,0.045,400,20,D_plus_convexity,A2_vol_target,D+: CVaR + Convexity,A2: Vol-Target
D_plus_convexity,A3_dd_delever,0.6676861165157975,0.19525501156604436,1.1638949260708615,0.0,0.1362891418631671,0.05990281638829351,0.22479294642305123,0.0,0.7143437757562625,0.12804609023223767,1.5000807318780296,0.01,400,20,D_plus_convexity,A3_dd_delever,D+: CVaR + Convexity,A3: DD-Delever
D_plus_convexity,A4_regime_rules,0.4532344310379862,0.05848454929421703,0.9040881522506512,0.04,0.10809845834597456,0.045554202249993056,0.16865022449444422,0.0,0.47874526624495695,-0.11432233649471846,1.2785972231577922,0.08,400,20,D_plus_convexity,A4_regime_rules,D+: CVaR + Convexity,A4: Regime Rules
