label,regime,avg_action,avg_invested_fraction,avg_overlay_size,avg_hedge_action,avg_hedge_type_action,dominant_hedge_type,avg_hedge_ratio,avg_hedge_cost,avg_hedge_benefit,avg_cash_weight,avg_turnover,avg_transaction_cost,avg_uncertainty_score,avg_convexity_mode,dominant_convexity_mode,avg_convexity_carry,avg_convexity_benefit,avg_council_weight_regime_rules,avg_council_weight_linucb,avg_council_weight_cvar_robust,avg_council_gate_entropy,dominant_council_expert,best_council_expert,ann_return,ann_vol
factor_only_tf0.40,bull,0.0,0.9999999900000001,0.0,0.0,0.0,none,0.0,0.0,0.0,9.99999991282645e-09,0.02094391858496601,2.2681604573639302e-05,0.295919019317621,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.25563121138066325,0.18021338221226596
factor_only_tf0.40,neutral,0.0,0.9999999900000002,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999903879414e-09,0.02018586620926716,2.1935329294395705e-05,0.35068452253564647,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.30635385066284515,0.17223168468590905
factor_only_tf0.40,bear,0.0,0.99999999,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999913669213e-09,0.024159464545607114,2.7803889938861747e-05,0.28274559060213655,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,-0.07903565744615881,0.3518175999803546
factor_only_tf0.50,bull,0.0,0.9999999900000002,0.0,0.0,0.0,none,0.0,0.0,0.0,9.99999990655137e-09,0.02049796890120802,2.2247565726990592e-05,0.2945835295535507,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.22326612747369712,0.18433988201066698
factor_only_tf0.50,neutral,0.0,0.9999999900000002,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999902967373e-09,0.019861160948122604,2.1535974746854175e-05,0.3488463287421913,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.28177250924397534,0.1667308866245863
factor_only_tf0.50,bear,0.0,0.9999999900000002,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999911368785e-09,0.027700761566325074,3.151291262619716e-05,0.28129395918009503,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.2537737026274353,0.3509489411389288
factor_only_tf0.60,bull,0.0,0.9999999900000001,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999910602353e-09,0.02322871342046356,2.515725911255169e-05,0.2981347065347364,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.05899540795667038,0.16208165539190042
factor_only_tf0.60,neutral,0.0,0.9999999900000002,0.0,0.0,0.0,none,0.0,0.0,0.0,9.99999989728353e-09,0.017072420465976134,1.853996199442578e-05,0.34559844926925776,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.1479948481954931,0.1488915316772626
factor_only_tf0.60,bear,0.0,0.9999999900000003,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999893582788e-09,0.018786070464917638,2.056141851864929e-05,0.2889587606460283,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.4633874290452362,0.209973258054277
alpha_stack_fixed_weights_tf0.40,bull,0.0,0.9999999900000001,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999841632363e-09,0.07911004451636292,8.561282075599054e-05,0.295919019317621,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.13936541822187087,0.12215086077547561
alpha_stack_fixed_weights_tf0.40,neutral,0.0,0.9999999900000002,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999836133152e-09,0.10661942173377914,0.0001157217920942698,0.35068452253564647,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.16948704994601088,0.1227277441843955
alpha_stack_fixed_weights_tf0.40,bear,0.0,0.9999999900000002,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999814796521e-09,0.12617554118694713,0.00014059371574720906,0.28274559060213655,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.062222183041208655,0.23056655442437612
alpha_stack_fixed_weights_tf0.50,bull,0.0,0.9999999900000002,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999850062301e-09,0.08692008383238277,9.448278268553895e-05,0.2945835295535507,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.08943539810029827,0.1228946586681871
alpha_stack_fixed_weights_tf0.50,neutral,0.0,0.9999999900000002,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999852937071e-09,0.11410416349852126,0.00012375077602497502,0.3488463287421913,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.22248935551739085,0.12083082675670173
alpha_stack_fixed_weights_tf0.50,bear,0.0,0.9999999900000002,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999849600013e-09,0.13574057300368556,0.00015188083210876635,0.28129395918009503,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.094498309860767,0.2250155808135201
alpha_stack_fixed_weights_tf0.60,bull,0.0,0.9999999900000002,0.0,0.0,0.0,none,0.0,0.0,0.0,9.99999984945335e-09,0.08818213399544583,9.542758989952852e-05,0.2981347065347364,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.003171241250869467,0.11476152180240584
alpha_stack_fixed_weights_tf0.60,neutral,0.0,0.9999999900000002,0.0,0.0,0.0,none,0.0,0.0,0.0,9.99999985164103e-09,0.11156597690039326,0.00012102622068883776,0.34559844926925776,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.08728585332639821,0.1107128608270739
alpha_stack_fixed_weights_tf0.60,bear,0.0,0.9999999900000003,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999844239543e-09,0.14260267432767254,0.00015521062511421788,0.2889587606460283,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.09041529035765472,0.139884500764485
alpha_stack_no_rl_tf0.40,bull,0.0,0.9999999900000003,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999845863537e-09,0.08982994119045647,9.722036837600932e-05,0.4952296274127529,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.13733509121385631,0.12174786070973376
alpha_stack_no_rl_tf0.40,neutral,0.0,0.9999999900000002,0.0,0.0,0.0,none,0.0,0.0,0.0,9.99999984859484e-09,0.11582879619077766,0.00012580388632939897,0.5489516911999807,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.16244809229006726,0.12242484202116695
