base_label,compare_label,delta_sharpe_point,delta_sharpe_ci_low,delta_sharpe_ci_high,delta_sharpe_pvalue_two_sided,delta_ann_return_point,delta_ann_return_ci_low,delta_ann_return_ci_high,delta_ann_return_pvalue_two_sided,delta_calmar_point,delta_calmar_ci_low,delta_calmar_ci_high,delta_calmar_pvalue_two_sided,bootstrap_samples,bootstrap_block_size,base_component_label,compare_component_label,base_display_label,compare_display_label
D_cvar_robust,factor_only,0.15523212066774028,-0.24626694487620435,0.562435365319385,0.455,0.040677506360148455,-0.01731630321180131,0.09732904264607872,0.17,0.09831191412685003,-0.36460220136083266,0.8087138277035216,0.53,400,20,D_cvar_robust,alpha_engine_no_control,D: CVaR-Robust,"No Control
(Alpha Engine)"
D_cvar_robust,A1_fixed,0.17492727075596282,-0.2065462305999171,0.587120311941943,0.395,0.04639550738301025,-0.008563409761164953,0.10241677683830884,0.08,0.12016228097641946,-0.39662070830606605,0.7269452197260337,0.4,400,20,D_cvar_robust,A1_fixed,D: CVaR-Robust,A1: Fixed
D_cvar_robust,A2_vol_target,0.22268736804473976,-0.21085834339178405,0.7089031537389402,0.355,0.058502775383767205,-0.00406999742520309,0.1328272137037863,0.065,0.17426783583768957,-0.4430355459367364,0.8837286142036525,0.54,400,20,D_cvar_robust,A2_vol_target,D: CVaR-Robust,A2: Vol-Target
D_cvar_robust,A3_dd_delever,0.2370016892221689,-0.20270491463961118,0.6802841768915948,0.345,0.053881180922282224,-0.007223500663221387,0.1194405228946602,0.08,0.1624079320528643,-0.3259396967338052,0.8602078340114692,0.385,400,20,D_cvar_robust,A3_dd_delever,D: CVaR-Robust,A3: DD-Delever
D_cvar_robust,A4_regime_rules,0.16014952445191144,-0.24027432456950534,0.5284468152784723,0.465,0.04733502643282923,-0.015889518619915256,0.10390583361441003,0.16,-0.025182878583770885,-0.4305877797254558,0.7680292987431379,0.64,400,20,D_cvar_robust,A4_regime_rules,D: CVaR-Robust,A4: Regime Rules
D_cvar_robust,A5_ensemble_mean,0.22150308834569354,-0.2185301267359412,0.6493500199987182,0.345,0.05361001007188598,-0.004630259726119691,0.12128476811394838,0.08,0.09066481754377698,-0.3505089244529453,0.8644527062212477,0.455,400,20,D_cvar_robust,A5_ensemble_mean,D: CVaR-Robust,"A5: Ensemble
(mean)"
D_cvar_robust,B1_linucb,0.14336188375452708,-0.2560487798838298,0.4990531574801637,0.49,0.04517905410338857,-0.013962685382966591,0.10152985402852105,0.12,0.033776120301976964,-0.3965256397165037,0.6415874682611215,0.645,400,20,D_cvar_robust,B1_linucb,D: CVaR-Robust,B1: LinUCB
D_cvar_robust,B2_thompson,0.20289674457588924,-0.24290012288699717,0.6440206185123062,0.325,0.05276621017205613,-0.009716438689118426,0.12080882859779568,0.11,0.18378688370338414,-0.4218392158668261,0.8536110710987928,0.49,400,20,D_cvar_robust,B2_thompson,D: CVaR-Robust,B2: Thompson
D_cvar_robust,B3_epsilon_greedy,0.18767701022962302,-0.2510306742601879,0.6584652025716949,0.415,0.05057690357147469,-0.009202143297619501,0.11425239880869319,0.1,0.11906268647830853,-0.43717977560558635,0.8228998013773086,0.54,400,20,D_cvar_robust,B3_epsilon_greedy,D: CVaR-Robust,B3: Eps-Greedy
D_cvar_robust,C_supervised,0.15249771365889953,-0.26078661147854865,0.5780550911435067,0.465,0.05105862493026446,-0.007103388140301158,0.12478680871336296,0.095,0.16369491456334473,-0.4805011305895792,0.7250943219203966,0.635,400,20,D_cvar_robust,C_supervised,D: CVaR-Robust,C: Supervised
D_cvar_robust,D_plus_convexity,0.06793757248358967,-0.006911999600803603,0.14655762497089003,0.08,0.012413034449294924,0.0024831847281293366,0.021270853755525985,0.015,0.09472552203527107,-0.022545145115234522,0.20591399221967596,0.13,400,20,D_cvar_robust,D_plus_convexity,D: CVaR-Robust,D+: CVaR + Convexity
D_cvar_robust,H_mpc,-0.01691331841167676,-0.39582613815519696,0.4032450401301795,0.95,0.07939131696049269,-0.02304517218820067,0.18156453481410337,0.155,-0.4040723573077023,-1.5160906392106717,-0.049542594913143306,0.03,400,20,D_cvar_robust,H_mpc,D: CVaR-Robust,H: MPC
D_cvar_robust,E_council,0.0458057204776644,-0.16443619258533068,0.2614136946403793,0.675,0.023737453272918985,-0.008710672221337534,0.058062649573031956,0.19,0.03193114104067796,-0.31620117206028037,0.3447878323840632,0.785,400,20,D_cvar_robust,E_council,D: CVaR-Robust,E: Council
D_cvar_robust,E_plus_convexity,0.17993421847711033,-0.046814656437946495,0.3846742399410646,0.13,0.04110819825297218,0.004293438095753623,0.08270755622865726,0.035,0.1775954127586522,-0.14516359883060076,0.5771905122144388,0.22,400,20,D_cvar_robust,E_plus_convexity,D: CVaR-Robust,E+: Council + Convexity
D_cvar_robust,G_mlp_meta,0.1277398117666163,-0.05844399701079395,0.2999260059734626,0.17,0.03230195035383494,0.0017015980280524025,0.06533045560230905,0.045,0.05793230745969813,-0.13815068357337087,0.46732809725098934,0.33,400,20,D_cvar_robust,G_mlp_meta,D: CVaR-Robust,G: MLP Meta
D_cvar_robust,G_plus_convexity,0.17884091343646769,-0.024217737195342166,0.38694078373878626,0.09,0.040953144946549655,0.006162221282130134,0.07592174491341508,0.01,0.1135307175506417,-0.11132644055824009,0.5062980293519105,0.235,400,20,D_cvar_robust,G_plus_convexity,D: CVaR-Robust,G+: MLP Meta + Convexity
D_cvar_robust,F_cmdp_lagrangian,0.2586328385861826,-0.14383065258522396,0.7362354438474638,0.225,0.059320277401106736,-0.0057434248801703155,0.12212359987046094,0.075,0.23439561259494246,-0.25878231022919873,0.8983052607800459,0.37,400,20,D_cvar_robust,F_cmdp_lagrangian,D: CVaR-Robust,F: CMDP-Lagrangian
D_cvar_robust,RL_q_learning,0.12270449028006136,-0.4082079106633582,0.5595309831511335,0.67,0.04588099746028895,-0.027261703112851657,0.11093604274127752,0.255,-0.037537357931959114,-0.7303592927299818,0.8016855123757193,0.715,400,20,D_cvar_robust,RL_q_learning,D: CVaR-Robust,RL: Q-Learning
D_cvar_robust,SPY,0.052785192051934327,-0.5771294059098964,0.596068977314708,0.98,-0.0016375372655945963,-0.09913952612457864,0.08338721551422908,0.87,0.2550989971339702,-0.8014943128413096,0.9108916539834924,0.925,400,20,D_cvar_robust,SPY,D: CVaR-Robust,SPY
D_plus_convexity,factor_only,0.08729454818415061,-0.3573938311964675,0.4802228166397503,0.81,0.02826447191085353,-0.032945260702800704,0.08623622052880599,0.4,0.0035863920915789604,-0.506851206023294,0.7317614937927079,0.755,400,20,D_plus_convexity,alpha_engine_no_control,D+: CVaR + Convexity,"No Control
(Alpha Engine)"
D_plus_convexity,A1_fixed,0.10698969827237315,-0.32619006303726866,0.48692414414425433,0.555,0.03398247293371533,-0.030143231479584857,0.09182537148979956,0.2,0.025436758941148385,-0.5808961503792656,0.6995399159386598,0.66,400,20,D_plus_convexity,A1_fixed,D+: CVaR + Convexity,A1: Fixed
D_plus_convexity,A2_vol_target,0.1547497955611501,-0.31781360679533976,0.5798518627276441,0.485,0.04608974093447228,-0.017446141610651018,0.11780512575783371,0.19,0.0795423138024185,-0.46986071358513265,0.9384541420948839,0.63,400,20,D_plus_convexity,A2_vol_target,D+: CVaR + Convexity,A2: Vol-Target
D_plus_convexity,A3_dd_delever,0.16906411673857924,-0.28989738450023184,0.5907518738534634,0.48,0.0414681464729873,-0.01293240461398122,0.1020667888112805,0.19,0.06768241001759323,-0.3781822288763275,0.8536990275224479,0.465,400,20,D_plus_convexity,A3_dd_delever,D+: CVaR + Convexity,A3: DD-Delever
D_plus_convexity,A4_regime_rules,0.09221195196832177,-0.3417668278863698,0.5024198562087773,0.66,0.03492199198353431,-0.016973837537567236,0.09685351061394559,0.225,-0.11990840061904195,-0.5849819366941938,0.5916385718517272,0.865,400,20,D_plus_convexity,A4_regime_rules,D+: CVaR + Convexity,A4: Regime Rules
D_plus_convexity,A5_ensemble_mean,0.15356551586210387,-0.28951882778480087,0.5810477037997088,0.42,0.04119697562259106,-0.017768986257837315,0.11226079109750053,0.145,-0.004060704491494094,-0.49773131371577894,0.8165433052431246,0.56,400,20,D_plus_convexity,A5_ensemble_mean,D+: CVaR + Convexity,"A5: Ensemble
(mean)"
D_plus_convexity,B1_linucb,0.0754243112709374,-0.3629787984961975,0.4397541217652576,0.65,0.03276601965409365,-0.014529040117497914,0.08471151234033508,0.255,-0.060949401733294106,-0.688548022722377,0.5638671420272147,0.785,400,20,D_plus_convexity,B1_linucb,D+: CVaR + Convexity,B1: LinUCB
D_plus_convexity,B2_thompson,0.13495917209229957,-0.3265834404521917,0.5278106042060337,0.61,0.0403531757227612,-0.021625529017654833,0.10209128839925237,0.22,0.08906136166811307,-0.5076333035542803,0.6559159178147421,0.71,400,20,D_plus_convexity,B2_thompson,D+: CVaR + Convexity,B2: Thompson
D_plus_convexity,B3_epsilon_greedy,0.11973943774603335,-0.29783651589558163,0.51665631715745,0.51,0.03816386912217977,-0.01580306320761213,0.09263311853827465,0.175,0.024337164443037462,-0.4805299126975135,0.6588427716074821,0.665,400,20,D_plus_convexity,B3_epsilon_greedy,D+: CVaR + Convexity,B3: Eps-Greedy
D_plus_convexity,C_supervised,0.08456014117530986,-0.3263620850432171,0.4643754884959405,0.675,0.038645590480969536,-0.024615627155808808,0.09108936927636611,0.26,0.06896939252807366,-0.5639609408282963,0.5724601656555347,0.91,400,20,D_plus_convexity,C_supervised,D+: CVaR + Convexity,C: Supervised
D_plus_convexity,D_cvar_robust,-0.06793757248358967,-0.1480754958203961,0.006933548346522627,0.07,-0.012413034449294924,-0.0216832641639939,-0.002414226810584489,0.025,-0.09472552203527107,-0.1977963194810625,0.03381133176876558,0.14,400,20,D_plus_convexity,D_cvar_robust,D+: CVaR + Convexity,D: CVaR-Robust
D_plus_convexity,H_mpc,-0.08485089089526643,-0.4886157483471139,0.312891987037638,0.65,0.06697828251119776,-0.02825922284521829,0.14929105212155172,0.19,-0.49879787934297337,-1.724563155950064,-0.16796956892583445,0.0,400,20,D_plus_convexity,H_mpc,D+: CVaR + Convexity,H: MPC
D_plus_convexity,E_council,-0.022131852005925268,-0.21579759131295081,0.18546554288866088,0.965,0.01132441882362406,-0.019058449515383866,0.044523001646829784,0.38,-0.06279438099459311,-0.39570780143473006,0.25307976587952913,0.93,400,20,D_plus_convexity,E_council,D+: CVaR + Convexity,E: Council
D_plus_convexity,E_plus_convexity,0.11199664599352066,-0.11328831014819349,0.33418513963153745,0.335,0.02869516380367726,-0.002326117019699038,0.06072384244584105,0.09,0.08286989072338113,-0.2265944685459235,0.43155688206748033,0.455,400,20,D_plus_convexity,E_plus_convexity,D+: CVaR + Convexity,E+: Council + Convexity
D_plus_convexity,G_mlp_meta,0.05980223928302664,-0.1426943313136422,0.24773629459375127,0.555,0.01988891590454002,-0.011010212143732583,0.05359742152917413,0.185,-0.03679321457557294,-0.2607417116244428,0.3375780974586652,0.695,400,20,D_plus_convexity,G_mlp_meta,D+: CVaR + Convexity,G: MLP Meta
D_plus_convexity,G_plus_convexity,0.11090334095287802,-0.09780640958061368,0.29018713357575027,0.315,0.02854011049725473,-0.004865213284426813,0.060595029235685834,0.09,0.018805195515370632,-0.20316607303733955,0.3711040619617199,0.56,400,20,D_plus_convexity,G_plus_convexity,D+: CVaR + Convexity,G+: MLP Meta + Convexity
D_plus_convexity,F_cmdp_lagrangian,0.1906952661025929,-0.2471127960242989,0.6692184629763638,0.4,0.04690724295181181,-0.010886677284846925,0.1112522397736517,0.1,0.1396700905596714,-0.32930766254665544,0.8086398818784536,0.4,400,20,D_plus_convexity,F_cmdp_lagrangian,D+: CVaR + Convexity,F: CMDP-Lagrangian
D_plus_convexity,RL_q_learning,0.08714411476105521,-0.4746549068337339,0.5122996574599432,0.79,0.03724467284855115,-0.032964501946866384,0.10993806727721261,0.28,-0.1059027066335625,-0.87104489873636,0.8839097135250689,0.87,400,20,D_plus_convexity,RL_q_learning,D+: CVaR + Convexity,RL: Q-Learning
D_plus_convexity,SPY,-0.015152380431655343,-0.6609886087608181,0.6450080637768597,0.975,-0.01405057171488952,-0.10600235214909953,0.0860144497597218,0.79,0.16037347509869915,-0.8673793441585299,0.9766364017612196,0.91,400,20,D_plus_convexity,SPY,D+: CVaR + Convexity,SPY
