label,regime,avg_action,avg_invested_fraction,avg_overlay_size,avg_hedge_action,avg_hedge_type_action,dominant_hedge_type,avg_hedge_ratio,avg_hedge_cost,avg_hedge_benefit,avg_cash_weight,avg_turnover,avg_transaction_cost,avg_uncertainty_score,avg_convexity_mode,dominant_convexity_mode,avg_convexity_carry,avg_convexity_benefit,avg_council_weight_regime_rules,avg_council_weight_linucb,avg_council_weight_cvar_robust,avg_council_gate_entropy,dominant_council_expert,best_council_expert,ann_return,ann_vol
factor_only_tf0.40,bull,0.0,0.9999999900000001,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999903618138e-09,0.022428411614289222,2.4347919966300045e-05,0.3728880307379682,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.03414711553366516,0.1506118482024303
factor_only_tf0.40,neutral,0.0,0.9999999900000003,0.0,0.0,0.0,none,0.0,0.0,0.0,9.99999990301494e-09,0.019444528395956808,2.1198128464253344e-05,0.39224466663335605,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.2272363096187342,0.19340939644049196
factor_only_tf0.40,bear,0.0,0.9999999900000003,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999910590579e-09,0.023582712839464504,2.6012734204861243e-05,0.3581968631289593,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.35626415097738495,0.223686929222038
factor_only_tf0.50,bull,0.0,0.99999999,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999893672623e-09,0.019817521055185246,2.1490871162967013e-05,0.3751385404902466,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.11247831299986179,0.1558407497305424
factor_only_tf0.50,neutral,0.0,0.9999999900000002,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999900468414e-09,0.01893502541406367,2.059779622707484e-05,0.38968042383733786,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.3518820628001891,0.16244157438512893
factor_only_tf0.50,bear,0.0,0.9999999900000003,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999869836351e-09,0.016237673859219096,1.7803094631575022e-05,0.35440748704753267,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,-0.2503237801432376,0.16209025980309777
factor_only_tf0.60,bull,0.0,0.9999999900000002,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999899009119e-09,0.018830861770034544,2.0412218743161724e-05,0.37833111829068833,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.09184751674925998,0.15091015217346834
factor_only_tf0.60,neutral,0.0,0.9999999900000002,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999906276736e-09,0.027747877983561108,3.0059457791082025e-05,0.41276456898784664,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.10000907628237708,0.11969821091675609
factor_only_tf0.60,bear,0.0,0.9999999900000002,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999907768971e-09,0.022067266908007036,2.4116834694540832e-05,0.3796865046825885,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.7150430215565327,0.20838735976061357
alpha_stack_fixed_weights_tf0.40,bull,0.0,0.9999999900000001,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999840205398e-09,0.04909006404618124,5.349141694360261e-05,0.3728880307379682,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.029835533024517524,0.11483085060224156
alpha_stack_fixed_weights_tf0.40,neutral,0.0,0.9999999900000003,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999835035129e-09,0.07591783073905449,8.288831111440481e-05,0.39224466663335605,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.10960828235869419,0.12903420813437186
alpha_stack_fixed_weights_tf0.40,bear,0.0,0.9999999900000003,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999840762071e-09,0.0699306583233962,7.708754579017983e-05,0.3581968631289593,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.21851730249429968,0.15878806362168946
alpha_stack_fixed_weights_tf0.50,bull,0.0,0.9999999900000002,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999828400186e-09,0.038896166318361784,4.2216841752208237e-05,0.3751385404902466,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.0905582342212915,0.1172874753447596
alpha_stack_fixed_weights_tf0.50,neutral,0.0,0.9999999900000002,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999836277338e-09,0.06523542628520348,7.11873638524002e-05,0.38968042383733786,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.23473874870332573,0.11892521555198535
alpha_stack_fixed_weights_tf0.50,bear,0.0,0.9999999900000003,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999843468555e-09,0.08117242531616811,8.895570840491609e-05,0.35440748704753267,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,-0.24930912743763778,0.12819517242948628
alpha_stack_fixed_weights_tf0.60,bull,0.0,0.9999999900000002,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999833764798e-09,0.035999892630421505,3.901984922464076e-05,0.37833111829068833,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.06684667140624213,0.11302788927735702
alpha_stack_fixed_weights_tf0.60,neutral,0.0,0.9999999900000005,0.0,0.0,0.0,none,0.0,0.0,0.0,9.99999982891926e-09,0.0573884438244425,6.200051239382622e-05,0.41276456898784664,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.04414221172160624,0.09260356771166908
alpha_stack_fixed_weights_tf0.60,bear,0.0,0.9999999900000002,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999822651873e-09,0.06499924818759274,7.063944641745546e-05,0.3796865046825885,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.692434762032537,0.14472050414121485
alpha_stack_no_rl_tf0.40,bull,0.0,0.9999999900000001,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999835204395e-09,0.05046447049549585,5.501558598926872e-05,0.5688487423602581,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.03273817159585247,0.11497787903998687
alpha_stack_no_rl_tf0.40,neutral,0.0,0.9999999900000003,0.0,0.0,0.0,none,0.0,0.0,0.0,9.999999829911023e-09,0.07736358571436998,8.445984231918865e-05,0.5931001088072576,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,none,none,0.11139637784037902,0.12829122605724516
