label,regime,avg_action,avg_hedge_action,avg_hedge_ratio,avg_cash_weight,avg_turnover,avg_transaction_cost,avg_uncertainty_score,ann_return,ann_vol
factor_only_tf0.40,bull,4.0,0.0,0.0,9.587411114956419e-09,0.05041693306297648,0.00018185278714910182,0.2945198119872723,0.15469804169175783,0.11077195987307009
factor_only_tf0.40,neutral,4.0,0.0,0.0,9.567693301118904e-09,0.043016998115997164,0.00014310292148899417,0.3377422713844482,0.15962907492697473,0.0886858184903471
factor_only_tf0.40,bear,4.0,0.0,0.0,9.592143787595653e-09,0.05654527371562483,0.00023392500097889728,0.285302528319494,0.8139056461073738,0.18714151554593872
factor_only_tf0.50,bull,4.0,0.0,0.0,9.604943934097977e-09,0.05213282280561279,0.00018993929349202476,0.2882333230786408,0.13749104565827017,0.1143929418928681
factor_only_tf0.50,neutral,4.0,0.0,0.0,9.569379580923701e-09,0.04281918698650421,0.00014195454997051403,0.33768520556678494,0.1871277354880996,0.08861211103969531
factor_only_tf0.50,bear,4.0,0.0,0.0,9.591731485458777e-09,0.05743598904970286,0.00023614575624236023,0.28508880251004537,0.8092428293674819,0.18551715666069454
factor_only_tf0.60,bull,4.0,0.0,0.0,9.61178158874362e-09,0.04998488239414251,0.00018122764217763808,0.28669743849501744,0.15764284512447715,0.12236162625317999
factor_only_tf0.60,neutral,4.0,0.0,0.0,9.562859627974619e-09,0.06825598910667345,0.00024140157092936016,0.3379438723302264,0.3027053923337046,0.13606394874889136
factor_only_tf0.60,bear,4.0,0.0,0.0,9.586324788525178e-09,0.04971458538636749,0.00022005191461739728,0.2610202784350969,0.2864608879964015,0.13505360949529283
factor_plus_pairs_tf0.40,bull,4.0,0.0,0.0,9.587393601344428e-09,0.05048470529731991,0.00018201550581099446,0.2945667410283118,0.15448083927715206,0.11073202379805516
factor_plus_pairs_tf0.40,neutral,4.0,0.0,0.0,9.56771902181432e-09,0.04227465100260454,0.0001406830971651548,0.3377337578744832,0.1599578294047791,0.0887129774218831
factor_plus_pairs_tf0.40,bear,4.0,0.0,0.0,9.592426490623307e-09,0.056981553118361374,0.0002353513160176756,0.2853737301434675,0.813319115505308,0.1873132515230283
factor_plus_pairs_tf0.50,bull,4.0,0.0,0.0,9.605557347104135e-09,0.0529049775538596,0.00019415809215342798,0.28833697683538334,0.13250333991857358,0.11356093964677344
factor_plus_pairs_tf0.50,neutral,4.0,0.0,0.0,9.56941620677009e-09,0.041841235995931154,0.0001387303805150605,0.3376763309468394,0.189450701119763,0.08830907682039939
factor_plus_pairs_tf0.50,bear,4.0,0.0,0.0,9.591090630034493e-09,0.056118107688768036,0.0002277229218428618,0.2851572495894471,0.8030180505622333,0.1841727525219479
factor_plus_pairs_tf0.60,bull,4.0,0.0,0.0,9.61209168404702e-09,0.04835998016530893,0.00017585568334804033,0.2867839320410911,0.15761750345832284,0.12280035245371447
factor_plus_pairs_tf0.60,neutral,4.0,0.0,0.0,9.563256765852759e-09,0.06893821262893765,0.00024359349331654612,0.3379840834335683,0.3108485441016203,0.13664340389701757
factor_plus_pairs_tf0.60,bear,4.0,0.0,0.0,9.586154785119886e-09,0.05097998234874673,0.00022917482614218075,0.26120446436980854,0.30409053698068633,0.1347873739395673
factor_plus_lstm_tf0.40,bull,4.0,0.0,0.0,9.586848758666054e-09,0.05066884488482865,0.0001834545815152365,0.2910757869518789,0.1569759525329528,0.1105810403166318
factor_plus_lstm_tf0.40,neutral,4.0,0.0,0.0,9.574179393734283e-09,0.042624494865387295,0.00014130555120518384,0.33580111158340303,0.15018485720686842,0.08867262278878167
factor_plus_lstm_tf0.40,bear,4.0,0.0,0.0,9.596530675670678e-09,0.05604392747899761,0.00023051946721189495,0.28321519419332153,0.8084287577884501,0.18637329174602685
factor_plus_lstm_tf0.50,bull,4.0,0.0,0.0,9.606115250840796e-09,0.05231140838222746,0.000191349050969829,0.28438669180465553,0.12736849143206613,0.11406376252185234
factor_plus_lstm_tf0.50,neutral,4.0,0.0,0.0,9.57465729663672e-09,0.04044199354228721,0.0001344316137765943,0.33580950221001243,0.18380179125633975,0.08784093848230881
factor_plus_lstm_tf0.50,bear,4.0,0.0,0.0,9.598585710979268e-09,0.0569144517476477,0.0002339251643547524,0.2830713437959907,0.8021893090249739,0.18538608269782988
factor_plus_lstm_tf0.60,bull,4.0,0.0,0.0,9.610281116436062e-09,0.04870301172116681,0.00017693136117350757,0.2826788187270332,0.16035128201857005,0.12192631568893852
factor_plus_lstm_tf0.60,neutral,4.0,0.0,0.0,9.570202809592943e-09,0.06925184603634946,0.0002452710352972887,0.33573658458212563,0.3183516758169124,0.13547950662527805
factor_plus_lstm_tf0.60,bear,4.0,0.0,0.0,9.586419645980403e-09,0.051298352053649104,0.0002281942390050516,0.25875456450410605,0.3073000226727963,0.13437301960685866
alpha_stack_no_rl_tf0.40,bull,4.0,0.0,0.0,9.446449660231697e-09,0.09340931177343843,0.0003304606376750578,0.4892608141796085,0.121643866107263,0.11831516266537766
alpha_stack_no_rl_tf0.40,neutral,4.0,0.0,0.0,9.453300856395889e-09,0.0801664067633538,0.00026348686704861076,0.5358435868315039,0.11952858831193931,0.0986569718051305
alpha_stack_no_rl_tf0.40,bear,4.0,0.0,0.0,9.43715338791451e-09,0.11247143846588022,0.0004453317192824045,0.4834155320917487,0.8088587463799318,0.19468436257684146
alpha_stack_no_rl_tf0.50,bull,4.0,0.0,0.0,9.44735415294876e-09,0.09283843185540111,0.0003341783641025013,0.48216650532557476,0.08314136590943795,0.12295772202299445
alpha_stack_no_rl_tf0.50,neutral,4.0,0.0,0.0,9.447600519191862e-09,0.08011811469035779,0.0002628466138749734,0.5358033534597338,0.14888480862931489,0.09821998436311455
alpha_stack_no_rl_tf0.50,bear,4.0,0.0,0.0,9.436890038849732e-09,0.10959687962092834,0.00043321671916297705,0.48335163968733924,0.8010544772102954,0.19464800046178596
alpha_stack_no_rl_tf0.60,bull,4.0,0.0,0.0,9.44802512853912e-09,0.08997980675984256,0.00032192610365348157,0.4828283372706847,0.11873365064800707,0.1314017278957429
alpha_stack_no_rl_tf0.60,neutral,4.0,0.0,0.0,9.402927033822346e-09,0.10624501875610892,0.0003685570842657617,0.5350156547854293,0.20583808282720367,0.14522891439695854
alpha_stack_no_rl_tf0.60,bear,4.0,0.0,0.0,9.372744503754017e-09,0.08947118594614709,0.000386733082387599,0.44059794393199164,0.2734570733162218,0.13875839063145967
alpha_plus_portfolio_rl_tf0.40,bull,2.50281425891182,0.0,0.0,0.051200759564084576,0.1022319364412367,0.0003611061503997948,0.4892422289666413,0.1135197373494443,0.11041695231912008
alpha_plus_portfolio_rl_tf0.40,neutral,2.2071428571428573,0.0,0.0,0.06707143754227139,0.09827512482097818,0.0003197888379867907,0.5358515275366995,0.09035639138321357,0.09037597961861257
alpha_plus_portfolio_rl_tf0.40,bear,0.9375,0.0,0.0,0.12537500851482428,0.11704008379286875,0.0004552619910280785,0.4833702119548061,0.655615128081223,0.1641480583462601
